IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,232,8.64
47.76.227.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,300,8.64
158.179.164.17,2052,2052,false,HKG,Asia Pacific,Hong Kong,200,8.61
47.76.214.139,2053,2053,true,HKG,Asia Pacific,Hong Kong,231,8.54
47.243.91.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,224,8.50
8.218.243.95,2082,2082,false,HKG,Asia Pacific,Hong Kong,229,8.46
47.76.77.103,2096,2096,true,HKG,Asia Pacific,Hong Kong,213,8.42
47.238.5.0,8443,8443,true,HKG,Asia Pacific,Hong Kong,239,8.41
8.218.204.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,235,8.32
8.218.18.235,80,80,false,HKG,Asia Pacific,Hong Kong,235,8.30
47.76.192.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,227,8.26
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,233,8.16
47.243.186.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,216,8.13
47.243.206.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,227,8.05
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,248,7.94
47.76.222.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,240,7.87
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,229,7.76
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,212,7.68
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,215,7.64
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,210,7.26
154.204.56.238,34237,2096,true,HKG,Asia Pacific,Hong Kong,242,7.25
47.76.213.245,2087,2087,true,HKG,Asia Pacific,Hong Kong,226,6.97
8.218.243.95,8080,8080,false,HKG,Asia Pacific,Hong Kong,245,6.78
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,243,6.74
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,233,6.39
154.204.60.218,29876,443,true,HKG,Asia Pacific,Hong Kong,244,5.83
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,654,5.80
47.243.139.85,2052,2052,false,HKG,Asia Pacific,Hong Kong,210,5.79
47.242.36.78,8880,8880,false,HKG,Asia Pacific,Hong Kong,205,5.58
47.243.234.9,2095,2095,false,HKG,Asia Pacific,Hong Kong,207,5.22
8.210.192.93,2086,2086,false,HKG,Asia Pacific,Hong Kong,234,5.14
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,240,4.93
47.243.139.85,80,80,false,HKG,Asia Pacific,Hong Kong,392,4.81
47.243.204.32,8443,443,true,HKG,Asia Pacific,Hong Kong,203,4.70
47.242.36.78,2052,2052,false,HKG,Asia Pacific,Hong Kong,233,4.41
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,453,4.26
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,205,4.14
47.243.139.85,8080,8080,false,HKG,Asia Pacific,Hong Kong,232,4.01
47.242.36.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,221,3.61
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,243,3.53
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,231,3.41
8.217.132.184,443,443,true,HKG,Asia Pacific,Hong Kong,235,3.31
47.242.36.78,2086,2086,false,HKG,Asia Pacific,Hong Kong,244,3.07
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,216,3.05
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,206,2.82
8.218.204.128,80,80,false,HKG,Asia Pacific,Hong Kong,248,2.76
